No;Nama;Ket;Kecamatan;Kelurahan;Kabupaten/;Provinsi;TEMPT_EV;Lon;Lat;tesid
1;Balai Adat Pebuahan;TES Eksisting;Negara;Banyu Biru;Jembrana;Bali;Tempat Evakuasi Sementara (Eksisting);114.5414765;-8.338464023;2001
2;RA Nurul Ilmi;TES Eksisting;Negara;Banyu Biru;Jembrana;Bali;Tempat Evakuasi Sementara (Eksisting);114.5539683;-8.341279409;2002
3;Yayasan Nurul Kholis;TES Eksisting;Negara;Banyu Biru;Jembrana;Bali;Tempat Evakuasi Sementara (Eksisting);114.5376789;-8.340187785;2003
4;Balai Subak Pemangket Awen Selatan;TES Rekomendasi;Negara;Pengambengan;Jembrana;Bali;Tempat Evakuasi Akhir (Rekomendasi);114.5951534;-8.394279934;2004
5;Masjid Baiturrahim;TES Eksisting;Negara;Pengambengan;Jembrana;Bali;Tempat Evakuasi Akhir (Eksisting);114.6131745;-8.386543848;2005
6;MTs Mambaus Solihin;TES Rekomendasi;Negara;Pengambengan;Jembrana;Bali;Tempat Evakuasi Akhir (Rekomendasi);114.5865912;-8.385232489;2006
7;Puskesmas Negara;TES Eksisting;Negara;Pengambengan;Jembrana;Bali;Tempat Evakuasi Akhir (Eksisting);114.5892141;-8.390981905;2007
8;Tanah Lapang Timur Pura Jati;TES Rekomendasi;Negara;Pengambengan;Jembrana;Bali;Tempat Evakuasi Akhir (Rekomendasi);114.5873696;-8.392731321;2008
9;SDN 1 Perancak;TES Rekomendasi;Jembrana;Perancak;Jembrana;Bali;Tempat Evakuasi Sementara (Rekomendasi);114.6203176;-8.403282578;2009
10;SDN 2 Perancak;TES Rekomendasi;Jembrana;Perancak;Jembrana;Bali;Tempat Evakuasi Sementara (Rekomendasi);114.6152854;-8.402823855;2010
11;Tanah Lapang Sirkuit Motor Cross;TES Rekomendasi;Jembrana;Perancak;Jembrana;Bali;Tempat Evakuasi Akhir (Rekomendasi);114.6242568;-8.400150679;2011
12;SDN 1 Tuwed;TES Eksisting;Melaya;Tuwed;Jembrana;Bali;Tempat Evakuasi Akhir (Eksisting);114.5324882;-8.312202753;2012
13;SMPN 5 Melaya;TES Eksisting;Melaya;Tuwed;Jembrana;Bali;Tempat Evakuasi Akhir (Eksisting);114.5327867;-8.252258232;2013
